source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[treatment]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 1	proteomic profiling by mass spectrometer	CID1-pool-F1_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F1_MSG_R01.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 2	proteomic profiling by mass spectrometer	CID1-pool-F2_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F2_MSG_R01.raw	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 3	proteomic profiling by mass spectrometer	CID1-pool-F3_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F3_MSG_R01.raw	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 4	proteomic profiling by mass spectrometer	CID1-pool-F4_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F4_MSG_R01.raw	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 5	proteomic profiling by mass spectrometer	CID1-pool-F5_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F5_MSG_R01.raw	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 6	proteomic profiling by mass spectrometer	CID1-pool-F6_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F6_MSG_R01.raw	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 7	proteomic profiling by mass spectrometer	CID1-pool-F7_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F7_MSG_R01.raw	7	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 8	proteomic profiling by mass spectrometer	CID1-pool-F8_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F8_MSG_R01.raw	8	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 9	proteomic profiling by mass spectrometer	CID1-pool-F9_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F9_MSG_R01.raw	9	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
PXD013231-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	obesity	1	baseline	run 10	proteomic profiling by mass spectrometer	CID1-pool-F10_MSG_R01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD013231/CID1-pool-F10_MSG_R01.raw	10	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	Blood Plasma
